Agrello (DLT),0.252589
Matryx (MTX),0.904561
Banca (BANCA),0.002068
LinkEye (LET),0.061993
Sentinel Chain (SENC),0.169248
Tao (XTO),0.539592
XinFin Network (XDCE),0.010922
Rentberry (BERRY),0.057429
Diamond (DMD),8.37
Interplanetary Broadcast Coin (IPBC),0.236042
Elixir (ELIX),0.346288
Devery (EVE),0.270918
Ambrosus (AMB),0.478113
Cappasity (CAPP),0.040653
Switcheo (SWH),0.066461
Groestlcoin (GRS),1.47
TaaS (TAAS),6.25
SingularDTV (SNGLS),0.099111
AdEx (ADX),1.11
Fortuna (FOTA),0.077030
GameCredits (GAME),1.84
CoinPoker (CHP),0.060468
Bytom (BTM),0.897963
CloakCoin (CLOAK),14.44
Revain (R),1.06
Mooncoin (MOON),0.000047
FoldingCoin (FLDC),0.020767
Everus (EVR),0.177335
Bulwark (BWK),1.57
Stellar (XLM),0.376133
Bee Token (BEE),0.110140
ALIS (ALIS),0.357920
Olympus Labs (MOT),0.416804
B2BX (B2B),0.506096
Pandacoin (PND),0.000241
Gatcoin (GAT),0.013956
ATMChain (ATM),0.004507
SIBCoin (SIB),1.36
Quantum (QAU),0.122796
Qtum (QTUM),19.73
Aigang (AIX),0.281707
APX (APX),8.35
MonetaryUnit (MUE),0.135816
U.CASH (UCASH),0.003419
Worldcore (WRC),0.055093
Polybius (PLBT),3.26
Publica (PBL),0.471125
LIFE (LIFE),0.000270
Bitmark (BTM),0.589856
FlorinCoin (FLO),0.092606
SureRemit (RMT),0.033612
Creditbit (CRB),0.249600
SwissBorg (CHSB),0.031857
Sociall (SCL),0.192290
GoldMint (MNTP),2.36
TransferCoin (TX),1.74
TrezarCoin (TZC),0.038533
AudioCoin (ADC),0.003946
Scry.info (DDD),0.268957
Hat.Exchange (HAT),2.62
MicroMoney (AMM),0.283907
PutinCoin (PUT),0.006519
Dotcoin (DOT),0.023271
TeslaCoin (TES),0.033943
Open Trading Network (OTN),2.87
DecentBet (DBET),0.099544
OKCash (OK),0.197600
Remme (REM),0.018161
iXledger (IXT),0.497204
Insights Network (INSTAR),0.079279
Rialto (XRL),0.183001
IOTA (MIOTA),2.05
Bismuth (BIS),1.73
Change (CAG),0.221565
Primas (PST),0.252269
FirstCoin (FRST),0.063089
LuckChain (BASH),0.005788
Autonio (NIO),0.093934
Innova (INN),0.846199
AdShares (ADST),0.232275
BLUE (BLUE),0.201731
FORCE (FOR),0.020618
Memetic / PepeCoin (MEME),0.310035
