HTC One M8,8 000 руб.,,https://avito.ru/moskva/telefony/htc_one_m8_1235037135?slocation=637640
"HTC 10 оригинал не Evo, не Lifestyle",17 000 руб.,м. ВДНХ,https://avito.ru/moskva/telefony/htc_10_original_ne_evo_ne_lifestyle_1366118381
HTC 820 dual SIM,10 000 руб.,м. Митино,https://avito.ru/moskva/telefony/htc_820_dual_sim_860522909
HTC One X (на запчасти),1 500 руб.,м. Нахимовский проспект,https://avito.ru/moskva/telefony/htc_one_x_na_zapchasti_1623766947
"HTC Blue Angel (Qtek 9090, MDA III, PDA2K)",900 руб.,м. Митино,https://avito.ru/moskva/telefony/htc_blue_angel_qtek_9090_mda_iii_pda2k_896279797
HTC,8 500 руб.,,https://avito.ru/moskva/telefony/htc_1380236703?slocation=637640
HTC Desire C б/у,2 000 руб.,м. Бабушкинская,https://avito.ru/moskva/telefony/htc_desire_c_bu_1180893346
HTC desire S запчасти,100 руб.,м. Проспект Вернадского,https://avito.ru/moskva/telefony/htc_desire_s_zapchasti_654817758
HTC One M8 32Gb,8 000 руб.,м. Речной вокзал,https://avito.ru/moskva/telefony/htc_one_m8_32gb_1294003509
HTC one mini,1 500 руб.,,https://avito.ru/moskva/telefony/htc_one_mini_1415941308
HTC U11+ Plus 128GB,39 000 руб.,м. Китай-город,https://avito.ru/moskva/telefony/htc_u11_plus_128gb_1457785702
HTC/силикон/чехол/накладка/прозрачный,200 руб.,м. Улица 1905 года,https://avito.ru/moskva/telefony/htcsilikoncheholnakladkaprozrachnyy_1220772981
HTC One 32GB,3 000 руб.,,https://avito.ru/moskva/telefony/htc_one_32gb_1092824463?slocation=637640
HTC One m8,6 000 руб.,,https://avito.ru/moskva/telefony/htc_one_m8_1460893543?slocation=637640
HTC Desire 628 Dual sim,7 000 руб.,м. Семеновская,https://avito.ru/moskva/telefony/htc_desire_628_dual_sim_1487613902
HTC Desire 310 (уцт),2 500 руб.,м. Строгино,https://avito.ru/moskva/telefony/htc_desire_310_utst_1051664032
HTC one v,1 500 руб.,,https://avito.ru/moskva/telefony/htc_one_v_1468378147
HTC Legend,2 100 руб.,м. Волжская,https://avito.ru/moskva/telefony/htc_legend_868797071
HTC Sensation XL X315e 8GB 8Mp,3 200 руб.,м. Бабушкинская,https://avito.ru/moskva/telefony/htc_sensation_xl_x315e_8gb_8mp_877664046
HTC sensation xl,1 900 руб.,,https://avito.ru/moskva/telefony/htc_sensation_xl_1636250917
